AccountName,AccountCode,Description,AccountType,ParentAccount,AccountNumber,Currency
Rajhi Acct# 580608010024014 - Ahsa,102040201,,Current Assets,Rajhi Bank,,
Rajhi Acct# 580608010024006 - Khobar Bandarya,102040202,,Current Assets,Rajhi Bank,,
Rajhi Acct# 580608010024022 - Jubail,102040203,,Current Assets,Rajhi Bank,,
Rajhi Acct# 503608010525253 - Dammam,102040204,,Current Assets,Rajhi Bank,,
Rajhi Acct# 580608010024030 - Khobar Yarmouk,102040205,,Current Assets,Rajhi Bank,,
Rajhi Acct# 580608010024048 - Petrol Station,102040206,,Current Assets,Rajhi Bank,,
Rajhi Acct# 580608010025656 - Overseas Est.,102040207,,Current Assets,Rajhi Bank,,
Rajhi Acct# 580608010027504 - Dammam Phrmacy,102040208,,Current Assets,Rajhi Bank,,
Rajhi Acct# 580608010027512 - Dammam Lab,102040209,,Current Assets,Rajhi Bank,,
Rajhi Acct# 580608010027520 - Khobar Yarmouk Pharmacy,102040210,,Current Assets,Rajhi Bank,,
Rajhi Acct# 580608010027546 - Jubail Pharmacy,102040211,,Current Assets,Rajhi Bank,,
Rajhi Acct# 580608010027538 - Dental Lab,102040212,,Current Assets,Rajhi Bank,,
