AccountName,AccountCode,Description,AccountType,ParentAccount,AccountNumber,Currency
NCB Acct# 05555719000108 - Khobar Bandarya,102040101,,NCB,NCB,,
NCB Acct# 05557466000101 - Sweden Carpentary,102040102,,NCB,NCB,,
NCB Acct# 05557956000100 - Overseas Est.,102040103,,NCB,NCB,,
NCB Acct# 08221166000109 - Soft Digital,102040104,,NCB,NCB,,
NCB Acct# 08250508000109 - Qassr Sedair,102040105,,NCB,NCB,,
NCB Acct# 08250991000205 - Dammam,102040106,,NCB,NCB,,
NCB Acct# 08250991000303 - Dammam,102040107,,NCB,NCB,,
NCB Acct# 08250991000510 - Al Ahsa,102040108,,NCB,NCB,,
NCB Acct# 08250991000804 - Co.,102040109,,NCB,NCB,,
NCB Acct# 08250991000902 - Charity,102040110,,NCB,NCB,,
NCB Acct# 08263360000206 - Jubail,102040111,,NCB,NCB,,
NCB Acct# 08267030000200 - Petrol Station,102040112,,NCB,NCB,,
NCB Acct# 08267030000309 - Petrol Station,102040113,,NCB,NCB,,
NCB Acct# 08268671000103 - Phrmacy,102040114,,NCB,NCB,,
NCB Acct# 08268671000201 - Overseas Out,102040115,,NCB,NCB,,
NCB Acct# 08268674000109 - Conracting,102040116,,NCB,NCB,,
NCB Acct# 08268674000403 - Gardinya,102040117,,NCB,NCB,,
NCB Acct# 08272670000107 - Advanced Studies,102040118,,NCB,NCB,,
NCB Acct# 08280296000101 - Pharmacy,102040119,,NCB,NCB,,
NCB Acct# 08282758000108 - Dammam Lab,102040120,,NCB,NCB,,
NCB Acct# 08282760000107 - Dental Lab,102040121,,NCB,NCB,,
NCB Acct# 08285173000100 - Khobar Yarmouk,102040122,,NCB,NCB,,
NCB Acct# 08285304000106 - Khobar Yarmouk Pharmacy,102040123,,NCB,NCB,,
Rajhi Acct# 580608010024014 - Ahsa,102040201,,Rajhi Bank,Rajhi Bank,,
Rajhi Acct# 580608010024006 - Khobar Bandarya,102040202,,Rajhi Bank,Rajhi Bank,,
Rajhi Acct# 580608010024022 - Jubail,102040203,,Rajhi Bank,Rajhi Bank,,
Rajhi Acct# 503608010525253 - Dammam,102040204,,Rajhi Bank,Rajhi Bank,,
Rajhi Acct# 580608010024030 - Khobar Yarmouk,102040205,,Rajhi Bank,Rajhi Bank,,
Rajhi Acct# 580608010024048 - Petrol Station,102040206,,Rajhi Bank,Rajhi Bank,,
Rajhi Acct# 580608010025656 - Overseas Est.,102040207,,Rajhi Bank,Rajhi Bank,,
Rajhi Acct# 580608010027504 - Dammam Phrmacy,102040208,,Rajhi Bank,Rajhi Bank,,
Rajhi Acct# 580608010027512 - Dammam Lab,102040209,,Rajhi Bank,Rajhi Bank,,
Rajhi Acct# 580608010027520 - Khobar Yarmouk Pharmacy,102040210,,Rajhi Bank,Rajhi Bank,,
Rajhi Acct# 580608010027546 - Jubail Pharmacy,102040211,,Rajhi Bank,Rajhi Bank,,
Rajhi Acct# 580608010027538 - Dental Lab,102040212,,Rajhi Bank,Rajhi Bank,,
Inma Acct# 68202727270000 - Dammam,102040301,,Inma Bank,Inma Bank,,
Inma Acct# 68202727271000 - Khobar Bandarya,102040302,,Inma Bank,Inma Bank,,
Inma Acct# 68202727272000 - Khobar Yarmouk,102040303,,Inma Bank,Inma Bank,,
Inma Acct# 68202727274000 - Jubail,102040304,,Inma Bank,Inma Bank,,
Inma Acct# 68202727275000 - Ahsa,102040305,,Inma Bank,Inma Bank,,
Inma Acct# 68202727276000 - Lab,102040306,,Inma Bank,Inma Bank,,
Inma Acct# 68202727277000 - Dental Lab,102040307,,Inma Bank,Inma Bank,,
Inma Acct# 68202727278000 - Contracting,102040308,,Inma Bank,Inma Bank,,
Inma Acct# 68201232727000 - Overseas,102040309,,Inma Bank,Inma Bank,,
