AccountName,AccountCode,Description,AccountType,ParentAccount,AccountNumber,Currency
RENT Expense,524,,Expense,GENERAL & ADMINISTRATIVE EXP,,
RENT EXP-STAFF HOUSING,524001,,Expense,RENT Expense,,
RENT EXP-CLINIC,524002,,Expense,RENT Expense,,
ADMINISTRATION Expense,525,,Expense,GENERAL & ADMINISTRATIVE EXP,,
POSTAL Expense,525001,,Expense,ADMINISTRATION Expense,,
PRINTING Expense,525002,,Expense,ADMINISTRATION Expense,,
CLEANING Expense,525003,,Expense,ADMINISTRATION Expense,,
CAFETERIA Expense,525004,,Expense,ADMINISTRATION Expense,,
STATIONERY Expense,525005,,Expense,ADMINISTRATION Expense,,
IT SUPPLIES Expense,525006,,Expense,ADMINISTRATION Expense,,
CHAMBER OF COMMERCE,525007,,Expense,ADMINISTRATION Expense,,
FEE & SUBSCRIPTION Expense,525008,,Expense,ADMINISTRATION Expense,,
BANK CHARGES,525009,,Expense,ADMINISTRATION Expense,,
ADMIN MISC Expense,525010,,Expense,ADMINISTRATION Expense,,
STAFF UTINSELS,525012,,Expense,ADMINISTRATION Expense,,
STAFF ENTERTAINMENT,525013,,Expense,ADMINISTRATION Expense,,
STAFF TRAVELLING Expense,525014,,Expense,ADMINISTRATION Expense,,
VAT EXPENSE,525015,,Expense,ADMINISTRATION Expense,,
VAT PENALITY,525016,,Expense,ADMINISTRATION Expense,,
BAD DEBTS EXPENSE,525017,,Expense,ADMINISTRATION Expense,,
LEGAL Expense,526,,Expense,GENERAL & ADMINISTRATIVE EXP,,
LICENCE RENEWAL Expense,526001,,Expense,LEGAL Expense,,
DOCUMENTATION EXP,526002,,Expense,LEGAL Expense,,
EXAMINATION AND VERIFICATION EXP,526003,,Expense,LEGAL Expense,,
ADVERTISEMENT Expense,527,,Expense,GENERAL & ADMINISTRATIVE EXP,,
MARKETING Expense,527001,,Expense,ADVERTISEMENT Expense,,
VEHICLE Expense,528,,Expense,GENERAL & ADMINISTRATIVE EXP,,
VEHICLE MAINTENANCE  & SERVICES,528001,,Expense,VEHICLE Expense,,
VEHICLE FUEL,528002,,Expense,VEHICLE Expense,,
VEHICLE INSURANC Expense,528003,,Expense,VEHICLE Expense,,
VEHICLE REGISTRATION RENEWAL+FINES,528004,,Expense,VEHICLE Expense,,
LEASE COST VEHICLES,528005,,Expense,VEHICLE Expense,,
ZAKAT & AUDIT,529,,Expense,GENERAL & ADMINISTRATIVE EXP,,
ZAKAT PAID,529001,,Expense,ZAKAT & AUDIT,,
AUDIT FEE,529002,,Expense,ZAKAT & AUDIT,,
