AccountName,AccountCode,Description,AccountType,ParentAccount,AccountNumber,Currency
WAGES,520001,,Expense,ADMIN & ACCRUED Expense,,
VACATION PAY,520010,,Expense,ADMIN & ACCRUED Expense,,
AIR TICKET,520011,,Expense,ADMIN & ACCRUED Expense,,
END SERVICE BENIFITS,520012,,Expense,ADMIN & ACCRUED Expense,,
HR Expense,521,,Expense,GENERAL & ADMINISTRATIVE EXP,,
STAFF TRAVLING,521001,,Expense,HR Expense,,
STAFF HEALTH INSURANCE,521002,,Expense,HR Expense,,
STAFF IQAMA RENEWAL,521003,,Expense,HR Expense,,
STAFF EXIT-RENTRY,521004,,Expense,HR Expense,,
LABOR OFFICE FEE+MOH FEE,521005,,Expense,HR Expense,,
VISA PROCESSING CHARGES,521007,,Expense,HR Expense,,
STAFF HIRING EXPENSE,521008,,Expense,HR Expense,,
STAFF TRANSFER EXPENSE,521009,,Expense,HR Expense,,
OTHER EXP,521010,,Expense,HR Expense,,
STAFF UNIFORM Expense,521011,,Expense,HR Expense,,
GOSI EXP,521012,,Expense,HR Expense,,
MAINTENANCE Expense,522,,Expense,GENERAL & ADMINISTRATIVE EXP,,
MAINTENANCE-CLINIC,522001,,Expense,MAINTENANCE Expense,,
MAINTENANCE-STAFF ACCOMODATION,522002,,Expense,MAINTENANCE Expense,,
MAINTENANCE-MACHINERY & EQUIPMENTS,522003,,Expense,MAINTENANCE Expense,,
FIRE FIGHTING MAINTENANCE,522004,,Expense,MAINTENANCE Expense,,
MAINTENANCE - IT,522005,,Expense,MAINTENANCE Expense,,
UTILITIES,523,,Expense,GENERAL & ADMINISTRATIVE EXP,,
TELEPHONE & INTERNET Expense,523001,,Expense,UTILITIES,,
ELECTRICITY Expense,523002,,Expense,UTILITIES,,
WATER Expense,523003,,Expense,UTILITIES,,
