AccountName,AccountCode,Description,AccountType,ParentAccount,AccountNumber,Currency
AL-RAJHI BANK,112001,,Bank,CASH AT BANK,,
INVENTORY & STOCK,114,,Stock,Stock,,
PHARMACY MEDICINES,114001,,Stock,INVENTORY & STOCK,,
CLINIC SUPPLIES,114002,,Stock,INVENTORY & STOCK,,
CLINIC STATIONERY & OFFICE SUPPLIES,114003,,Stock,INVENTORY & STOCK,,
PREPAID Expense,115,,Other Current Asset,Other Current Asset,,
PREPAID STAFF INSURANCE,115001,,Other Current Asset,PREPAID Expense,,
PREPAID RENT-STAFF HOUSING,115002,,Other Current Asset,PREPAID Expense,,
PREPAID RENT-CLINIC,115003,,Other Current Asset,PREPAID Expense,,
CREDIT CARD,111003,,Cash,CASH AND CASH EQUIVALENTS,,
ADVANCE TO SUPPLIERS,116,,Other Current Asset,Other Current Asset,,
ADVANCE TO SUPPLIERS,116001,,Other Current Asset,ADVANCE TO SUPPLIERS,,
