AccountName,AccountCode,Description,AccountType,ParentAccount,AccountNumber,Currency
Rajhi Acct# 580608010024014 - Ahsa,1020110201,Any short term asset that can be converted into cash or cash equivalents easily,Current Assets,Rajhi Bank,,
Rajhi Acct# 580608010024014 - Ahsa,1020110202,Any short term asset that can be converted into cash or cash equivalents easily,Current Assets,Rajhi Bank,,
Rajhi Acct# 580608010024014 - Ahsa,1020110203,Any short term asset that can be converted into cash or cash equivalents easily,Current Assets,Rajhi Bank,,
Rajhi Acct# 580608010024014 - Ahsa,1020110204,Any short term asset that can be converted into cash or cash equivalents easily,Current Assets,Rajhi Bank,,
Rajhi Acct# 580608010024014 - Ahsa,1020110205,Any short term asset that can be converted into cash or cash equivalents easily,Current Assets,Rajhi Bank,,
Rajhi Acct# 580608010024014 - Ahsa,1020110206,Any short term asset that can be converted into cash or cash equivalents easily,Current Assets,Rajhi Bank,,
Rajhi Acct# 580608010024014 - Ahsa,1020110207,Any short term asset that can be converted into cash or cash equivalents easily,Current Assets,Rajhi Bank,,
Rajhi Acct# 580608010024014 - Ahsa,1020110208,Any short term asset that can be converted into cash or cash equivalents easily,Current Assets,Rajhi Bank,,
Rajhi Acct# 580608010024014 - Ahsa,1020110209,Any short term asset that can be converted into cash or cash equivalents easily,Current Assets,Rajhi Bank,,
Rajhi Acct# 580608010024014 - Ahsa,1020110210,Any short term asset that can be converted into cash or cash equivalents easily,Current Assets,Rajhi Bank,,
Rajhi Acct# 580608010024014 - Ahsa,1020110211,Any short term asset that can be converted into cash or cash equivalents easily,Current Assets,Rajhi Bank,,
Rajhi Acct# 580608010024014 - Ahsa,1020110212,Any short term asset that can be converted into cash or cash equivalents easily,Current Assets,Rajhi Bank,,
