AccountName,AccountCode,Description,AccountType,ParentAccount,AccountNumber,Currency
NCB Acct# 05555719000108 - Khobar Bandarya,10201101,Any short term asset that can be converted into cash or cash equivalents easily,Current Assets ?????? ?????????,NCB ????? ?????? ???????,,
NCB Acct# 05557466000101 - Sweden Carpentary,10201102,Any short term asset that can be converted into cash or cash equivalents easily,Current Assets ?????? ?????????,NCB ????? ?????? ???????,,
NCB Acct# 05557956000100 - Overseas Est.,10201103,Any short term asset that can be converted into cash or cash equivalents easily,Current Assets ?????? ?????????,NCB ????? ?????? ???????,,
NCB Acct# 08221166000109 - Soft Digital,10201104,Any short term asset that can be converted into cash or cash equivalents easily,Current Assets ?????? ?????????,NCB ????? ?????? ???????,,
NCB Acct# 08250508000109 - Qassr Sedair,10201105,Any short term asset that can be converted into cash or cash equivalents easily,Current Assets ?????? ?????????,NCB ????? ?????? ???????,,
NCB Acct# 08250991000205 - Dammam,10201106,Any short term asset that can be converted into cash or cash equivalents easily,Current Assets ?????? ?????????,NCB ????? ?????? ???????,,
NCB Acct# 08250991000303 - Dammam,10201107,Any short term asset that can be converted into cash or cash equivalents easily,Current Assets ?????? ?????????,NCB ????? ?????? ???????,,
NCB Acct# 08250991000510 - Al Ahsa,10201108,Any short term asset that can be converted into cash or cash equivalents easily,Current Assets ?????? ?????????,NCB ????? ?????? ???????,,
NCB Acct# 08250991000804 - Co.,10201109,Any short term asset that can be converted into cash or cash equivalents easily,Current Assets ?????? ?????????,NCB ????? ?????? ???????,,
NCB Acct# 08250991000902 - Charity,10201110,Any short term asset that can be converted into cash or cash equivalents easily,Current Assets ?????? ?????????,NCB ????? ?????? ???????,,
NCB Acct# 08263360000206 - Jubail,10201111,Any short term asset that can be converted into cash or cash equivalents easily,Current Assets ?????? ?????????,NCB ????? ?????? ???????,,
NCB Acct# 08267030000200 - Petrol Station,10201112,Any short term asset that can be converted into cash or cash equivalents easily,Current Assets ?????? ?????????,NCB ????? ?????? ???????,,
NCB Acct# 08267030000309 - Petrol Station,10201113,Any short term asset that can be converted into cash or cash equivalents easily,Current Assets ?????? ?????????,NCB ????? ?????? ???????,,
NCB Acct# 08268671000103 - Phrmacy,10201114,Any short term asset that can be converted into cash or cash equivalents easily,Current Assets ?????? ?????????,NCB ????? ?????? ???????,,
NCB Acct# 08268671000201 - Overseas Out,10201115,Any short term asset that can be converted into cash or cash equivalents easily,Current Assets ?????? ?????????,NCB ????? ?????? ???????,,
NCB Acct# 08268674000109 - Conracting,10201116,Any short term asset that can be converted into cash or cash equivalents easily,Current Assets ?????? ?????????,NCB ????? ?????? ???????,,
NCB Acct# 08268674000403 - Gardinya,10201117,Any short term asset that can be converted into cash or cash equivalents easily,Current Assets ?????? ?????????,NCB ????? ?????? ???????,,
NCB Acct# 08272670000107 - Advanced Studies,10201118,Any short term asset that can be converted into cash or cash equivalents easily,Current Assets ?????? ?????????,NCB ????? ?????? ???????,,
NCB Acct# 08280296000101 - Pharmacy,10201119,Any short term asset that can be converted into cash or cash equivalents easily,Current Assets ?????? ?????????,NCB ????? ?????? ???????,,
NCB Acct# 08282758000108 - Dammam Lab,10201120,Any short term asset that can be converted into cash or cash equivalents easily,Current Assets ?????? ?????????,NCB ????? ?????? ???????,,
NCB Acct# 08282760000107 - Dental Lab,10201121,Any short term asset that can be converted into cash or cash equivalents easily,Current Assets ?????? ?????????,NCB ????? ?????? ???????,,
NCB Acct# 08285173000100 - Khobar Yarmouk,10201122,Any short term asset that can be converted into cash or cash equivalents easily,Current Assets ?????? ?????????,NCB ????? ?????? ???????,,
NCB Acct# 08285304000106 - Khobar Yarmouk Pharmacy,10201123,Any short term asset that can be converted into cash or cash equivalents easily,Current Assets ?????? ?????????,NCB ????? ?????? ???????,,
